DESCR,ID_NODE,ID_PARENT,ORD,ID_TREE,TAG,DESCR
CDS ESD 2 - Separation Train 4,231,230,0,4,SDV-0304-01,Close SDV - Oil Inlet Valve to Prod. Separator V-0304 
CDS ESD 2 - Separation Train 4,232,230,1,4,SDV-0304-04,Close SDV - Water outlet from Prod. Separator V-0304
CDS ESD 2 - Separation Train 4,233,230,2,4,LCV-0304-01A/B,Close LCV - Water outlet from Prod. Separator V-0304
CDS ESD 2 - Separation Train 4,234,230,3,4,SDV-0304-02,Close SDV - Fresh Water inlet valve to Prod. Separator V-0304
CDS ESD 2 - Separation Train 4,235,230,4,4,SDV-0304-05,Close SDV - Oil outlet from Prod. Separator V-0304
CDS ESD 2 - Separation Train 4,236,230,5,4,FCV-0304-08,Close FCV - Oil outlet from Prod. Separator V-0304
CDS ESD 2 - Separation Train 4,237,230,6,4,SDV-0304-03,Close SDV - Gas outlet valve from Prod. Separator V-0304
CDS ESD 2 - Separation Train 4,238,230,7,4,SOV-0304-01A,Close SOV - Corrosion Inhibitor inlet valve
CDS ESD 2 - Separation Train 4,239,230,8,4,SOV-0304-01B,Close SOV - Corrosion Inhibitor inlet valve
CDS ESD 2 - Separation Train 4,240,230,9,4,SDV-0404-03,Close SDV - Water outlet from Prod. Separator V-0404
CDS ESD 2 - Separation Train 4,241,230,10,4,LCV - 0404-01A,Close LCV -  Water outlet from Prod. Separator V-0404
CDS ESD 2 - Separation Train 4,242,230,11,4,LCV - 0404-01B,Close LCV - Water outlet from V-0404
CDS ESD 2 - Separation Train 4,243,230,12,4,SDV-0404-04,Close SDV - Oil outlet from Prod. Separator V-0404
CDS ESD 2 - Separation Train 4,244,230,13,4,SDV-0404-05,Close SDV - Oil inlet from Pig Receiver RP-1301/02/03/04/05
CDS ESD 2 - Separation Train 4,245,230,14,4,SDV-0404-06,Close SDV - Oil inlet from Rec. Sump V-1101
CDS ESD 2 - Separation Train 4,246,230,16,4,SDV-0404-02,Close SDV - Gas outlet valve from Prod. Separator V-0404
CDS ESD 2 - Separation Train 4,247,230,17,4,SOV-0404-01A/01B,Close SOV - Corrosion Inhibitor inlet valve 
CDS ESD 2 - Separation Train 4,248,230,18,4,SDV-1204-02,Close SDV - Oil outlet from Surge Vessel V-1204
CDS ESD 2 - Separation Train 4,249,230,19,4,SDV-1204-01,Close SDV - Gas outlet valve from Surge Vessel V-1204
CDS ESD 2 - Separation Train 4,250,230,20,4,SDV-1204-03A/03B,Close SDV - Corrosion Inhibitor inlet valve
CDS ESD 2 - Separation Train 4,251,230,21,4,P-1204-01,Stop Dehydrator Feed Pump P-1204-01
CDS ESD 2 - Separation Train 4,252,230,22,4,P-1204-02,Stop Dehydrator Feed Pump P-1204-02
